type,name,capacity,generation-00:00,note-00:00,generation-19:50,note-19:50
nuclear,核二#1,985.0,840.5,燃料限制,836.5,燃料限制
nuclear,核二#2,985.0,975.9,,815.1,運轉限制
nuclear,核三#1,951.0,952.9,,951.8,
nuclear,核三#2,951.0,946.1,,943.8,
nuclear,小計,3872.0(7.793%),3715.4(13.751%),,3547.2(11.073%),
coal,林口#1,800.0,755.7,,759.3,
coal,林口#2,800.0,759.6,,760.1,
coal,林口#3,800.0,757.4,,763.2,
coal,台中#1,550.0,364.7,,427.7,
coal,台中#2,550.0,341.3,,426.6,
coal,台中#3,550.0,366.4,,115.2,運轉限制
coal,台中#4,550.0,348.8,,418.5,
coal,台中#5,550.0,373.5,,437.3,
coal,台中#6,550.0,0.0,環保停機歲修,0.0,環保停機歲修
coal,台中#7,550.0,360.3,,423.6,
coal,台中#8,550.0,371.2,,441.7,
coal,台中#9,550.0,349.3,,423.1,
coal,台中#10,550.0,352.8,,428.7,運轉限制
coal,興達#1(註12),500.0,473.3,,478.4,
coal,興達#2(註12),500.0,480.3,,476.5,
coal,興達#3(註12),550.0,520.6,,519.8,
coal,興達#4(註12),550.0,520.2,,517.1,
coal,大林#1,800.0,761.0,,756.2,
coal,大林#2,800.0,680.5,運轉限制,674.2,運轉限制
coal,小計,11600.0(23.347%),8936.9(33.077%),,9247.2(28.866%),
cogen,汽電共生,618.0,932.2,,1320.2,
cogen,小計,618.0(1.244%),932.2(3.450%),,1320.2(4.121%),
ippcoal,和平#1,648.6,567.5,,603.9,
ippcoal,和平#2,648.6,565.6,,598.3,
ippcoal,麥寮#1,600.0,568.4,,569.3,
ippcoal,麥寮#2,600.0,566.3,,565.8,
ippcoal,麥寮#3,600.0,572.3,,574.3,
ippcoal,小計,3097.1(6.234%),2840.1(10.512%),,2911.6(9.089%),
lng,大潭CC#1,742.7,691.0,,687.3,
lng,大潭CC#2,742.7,632.6,,662.8,
lng,大潭CC#3,724.7,636.1,,645.9,
lng,大潭CC#4,724.7,683.6,,674.0,
lng,大潭CC#5,724.7,674.2,,666.0,
lng,大潭CC#6,724.7,0.0,歲修,0.0,歲修
lng,大潭CC#7,600.0,0.0,,277.5,
lng,通霄CC#1,892.6,889.9,,881.5,
lng,通霄CC#2,892.6,842.7,,873.0,
lng,通霄CC#3,892.6,794.9,,405.0,部分檢修
lng,通霄CC#4,386.0,183.3,,366.5,
lng,通霄CC#5,386.0,320.9,,324.4,
lng,通霄CC#6,321.2,345.0,,349.0,
lng,興達CC#1,445.2,281.5,部分檢修,217.7,部分檢修
lng,興達CC#2,445.2,0.0,歲修,137.9,測試運轉
lng,興達CC#3,445.2,325.0,,325.6,
lng,興達CC#4,445.2,327.7,,327.3,
lng,興達CC#5,445.2,327.7,,328.9,
lng,南部CC#1,288.8,281.1,,289.9,
lng,南部CC#2,288.8,211.2,,199.8,
lng,南部CC#3,288.8,227.1,,227.4,
lng,南部CC#4,251.4,0.0,檢修,0.0,檢修
lng,大林#5,500.0,140.9,,447.9,
lng,大林#6,550.0,0.0,歲修,0.0,歲修
lng,小計,13149.0(26.465%),8816.4(32.631%),,9315.3(29.078%),
ipplng,海湖#1,450.0,418.5,,454.3,
ipplng,海湖#2,450.0,0.0,合約限制,455.8,
ipplng,新桃#1,600.0,0.0,合約限制,601.2,
ipplng,國光#1,480.0,0.0,合約限制,469.0,
ipplng,星彰#1,506.9,7.5,合約限制,444.9,
ipplng,星元#1,490.0,260.7,部分故障,258.0,部分故障
ipplng,嘉惠#1,670.0,0.0,合約限制,664.1,
ipplng,嘉惠#2(註10),-,0.0,,154.0,
ipplng,豐德#1,506.9,0.0,合約限制,440.5,
ipplng,豐德#2,506.9,0.0,合約限制,442.1,
ipplng,小計,4660.6(9.380%),686.7(2.542%),,4383.9(13.685%),
oil,協和#3,500.0,135.4,,155.2,
oil,協和#4,500.0,0.0,歲修,0.0,歲修
oil,小計,1000.0(2.013%),135.4(0.501%),,155.2(0.484%),
diesel,核二Gas1,-,0.0,,0.0,
diesel,核二Gas2,-,0.0,,0.0,
diesel,核三Gas1,-,0.0,,0.0,
diesel,核三Gas2,-,0.0,,0.0,
diesel,台中Gas1&amp;2,140.0,0.0,,0.0,
diesel,台中Gas3&amp;4,140.0,0.0,,0.0,
diesel,澎湖尖山(註4),129.8,57.6,,71.1,
diesel,金門塔山(註4),113.3,30.7,,39.2,
diesel,馬祖珠山(註4),28.6,6.6,,8.5,
diesel,離島其他(註4),42.7,N/A,,N/A,
diesel,小計(註5),594.4(1.196%),94.9(0.351%),,118.8(0.371%),
hydro,德基#1,78.0,0.0,,0.0,
hydro,德基#2,78.0,0.0,,0.0,
hydro,德基#3,78.0,0.0,,0.0,
hydro,青山#1,92.0,0.0,,0.0,
hydro,青山#2,92.0,0.0,,0.0,
hydro,青山#3,92.0,0.0,,0.0,
hydro,青山#4,92.0,0.0,,0.0,
hydro,谷關#1,54.4,0.0,,0.0,
hydro,谷關#2,54.4,52.5,,23.1,
hydro,谷關#3,54.4,0.0,歲修,0.0,歲修
hydro,谷關#4,54.4,0.0,,0.0,
hydro,天輪#1,22.5,21.3,,12.0,
hydro,天輪#2,22.5,20.7,,12.0,
hydro,天輪#3,22.5,0.0,歲修,12.6,
hydro,天輪#4,22.5,0.0,,0.0,
hydro,天輪#5,105.0,9.3,,0.0,
hydro,馬鞍#1,66.7,18.2,,0.0,
hydro,馬鞍#2,66.7,44.3,,37.3,
hydro,卓蘭#1,40.0,40.2,,40.2,
hydro,卓蘭#2,40.0,39.9,,39.9,
hydro,萬大#1,10.4,0.0,,10.0,
hydro,萬大#2,10.4,0.0,,10.0,
hydro,萬大#3,15.3,0.0,,0.0,
hydro,萬大#4,19.7,0.0,,0.0,
hydro,松林#1&amp;2,20.9,0.0,,8.7,
hydro,大觀一#1,22.0,1.4,,0.0,
hydro,大觀一#2,22.0,1.1,,1.6,
hydro,大觀一#3,22.0,1.6,,0.0,
hydro,大觀一#4,22.0,1.6,,1.8,
hydro,大觀一#5,22.0,0.0,檢修,0.0,檢修
hydro,鉅工#1,21.8,0.0,歲修,0.0,歲修
hydro,鉅工#2,21.8,2.3,,1.6,
hydro,水里#1,12.8,0.0,,0.0,
hydro,立霧#1&amp;#2,32.0,26.0,,26.0,
hydro,龍澗#1,48.6,0.0,,0.0,
hydro,龍澗#2,48.6,48.7,,20.4,
hydro,碧海,61.2,30.9,,30.1,
hydro,烏來&amp;桂山&amp;粗坑,40.5,27.0,,28.2,
hydro,北部小水力(註6),26.6,N/A,,N/A,
hydro,中部小水力(註6),9.8,N/A,,N/A,
hydro,南部小水力(註6),7.2,N/A,,N/A,
hydro,東部小水力(註6),54.6,21.0,,24.0,
hydro,翡翠#1,70.0,0.0,,0.0,
hydro,石門#1,45.0,0.0,,0.0,
hydro,石門#2,45.0,0.0,,10.1,
hydro,曾文#1,50.0,0.0,,0.0,
hydro,義興#1,40.0,38.0,,35.3,
hydro,名間,16.7,13.4,,0.0,
hydro,嘉南西口、烏山頭和八田,22.5,0.0,,0.0,
hydro,后里示範,0.1,N/A,,N/A,
hydro,卑南,2.0,0.6,,0.7,
hydro,捷祥關山,1.0,0.0,,0.0,
hydro,小計,2092.5(4.212%),475.0(1.758%),,410.6(1.282%),
wind,石門,4.0,0.0,,0.0,
wind,林口,6.0,0.0,,0.3,
wind,蘆竹,7.2,0.0,,0.4,
wind,大潭,15.1,0.8,,0.8,
wind,觀園,30.0,0.0,,0.0,
wind,香山,12.0,0.0,,0.0,
wind,台中,6.0,0.0,,0.0,
wind,台中港,36.0,0.0,,0.1,
wind,王功,23.0,0.0,,0.1,
wind,彰工,71.2,0.0,,0.2,
wind,永興,9.2,0.0,,0.0,
wind,離岸一期(註10),-,0.0,,0.0,
wind,雲麥,46.0,0.0,,0.2,
wind,四湖,28.0,0.1,,0.0,
wind,恆春,4.5,0.2,,0.0,
wind,澎湖中屯,4.8,0.0,,0.0,
wind,金門金沙,4.0,0.5,,0.0,
wind,澎湖湖西,5.4,0.0,,0.0,
wind,苗栗竹南,7.8,0.1,,0.0,
wind,苗栗大鵬,42.0,0.0,,0.0,
wind,鹿威彰濱,55.2,0.0,,0.0,
wind,鹿威鹿港,41.4,0.6,,0.6,
wind,觀威觀音&amp;桃威新屋,48.3,0.0,,0.0,
wind,中威大安,75.9,0.0,,0.1,
wind,崎威崎頂,6.9,0.0,,0.0,
wind,豐威,11.5,0.1,,0.0,
wind,龍威後龍,44.1,0.0,,0.0,
wind,苗栗通苑,39.1,0.4,,0.1,
wind,安威,11.5,0.0,,0.0,
wind,清風清水,2.3,0.0,,0.0,
wind,東鋼龍港,11.5,0.0,,0.1,
wind,海洋竹南,128.0,0.0,,0.0,
wind,禾風麥寮,2.3,0.0,,0.0,
wind,小計,840.2(1.691%),2.8(0.010%),,3.0(0.009%),
solar,金門金沙,0.5,0.000,,0.000,
solar,台中生水池,2.1,0.000,,0.000,
solar,興達生水池,1.6,0.000,,0.000,
solar,嘉義民雄,0.1,0.000,,0.000,
solar,中部儲運,0.1,0.000,,0.000,
solar,東勢新伯公,0.1,0.000,,0.000,
solar,永安鹽灘地,4.6,0.000,,0.000,
solar,路北,0.1,0.000,,0.000,
solar,中原大學,0.0,0.000,,0.000,
solar,大潭生水池,0.6,0.000,,0.000,
solar,核三生水池,1.5,0.000,,0.000,
solar,七美,0.4,0.000,,0.000,
solar,尖山,0.1,0.000,,0.000,
solar,卓蘭,0.0,0.000,,0.000,
solar,后里,0.1,0.000,,0.000,
solar,台中龍井,6.5,0.000,,0.009,
solar,七股,1.8,0.000,,0.000,
solar,龍潭E/S,0.2,0.000,,0.000,
solar,竹工E/S,0.2,0.000,,0.000,
solar,中科E/S,0.2,0.000,,0.000,
solar,彰林E/S,0.3,0.000,,0.000,
solar,高雄E/S,0.4,0.000,,0.000,
solar,燕巢倉庫,0.5,0.000,,0.000,
solar,大潭,0.7,0.000,,0.000,
solar,北儲,0.9,0.000,,0.000,
solar,彰濱光,100.0,0.000,,0.000,
solar,南鹽光(註10),-,0.000,,0.000,
solar,崙尾光(註10),-,0.000,,0.000,
solar,太陽能購電(註7),5435.2,0.000,,0.000,
solar,小計,5558.8(11.188%),0.0(0.000%),,0.0(0.000%),
pumpinggen,大觀二#1,250.0,0.0,,147.3,
pumpinggen,大觀二#2,250.0,195.8,,0.0,
pumpinggen,大觀二#3,250.0,0.0,,0.0,
pumpinggen,大觀二#4,250.0,0.0,,160.3,
pumpinggen,明潭#1,267.0,0.0,,0.0,
pumpinggen,明潭#2,267.0,171.9,,156.7,
pumpinggen,明潭#3,267.0,14.5,,0.0,
pumpinggen,明潭#4,267.0,0.0,,0.0,
pumpinggen,明潭#5,267.0,0.0,,157.8,
pumpinggen,明潭#6,267.0,0.0,,0.0,
pumpinggen,小計,2602.0(5.237%),382.2(1.415%),,622.1(1.942%),
pumpingload,大觀二#1,-,0.0,,0.0,
pumpingload,大觀二#2,-,0.0,,0.0,
pumpingload,大觀二#3,-,0.0,,0.0,
pumpingload,大觀二#4,-,0.0,,0.0,
pumpingload,明潭#1,-,0.0,,0.0,
pumpingload,明潭#2,-,0.0,,0.0,
pumpingload,明潭#3,-,0.0,,0.0,
pumpingload,明潭#4,-,0.0,,0.0,
pumpingload,明潭#5,-,0.0,,0.0,
pumpingload,明潭#6,-,0.0,,0.0,
geothermal,小型地熱能,0.3,0.2,,0.2,
geothermal,小計,0.3(0.001%),0.2(0.001%),,0.2(0.001%),
