type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10
nuclear,核二#1,985.0,845.9,燃料限制,845.9,燃料限制
nuclear,核二#2,985.0,977.3,,974.6,
nuclear,核三#1,951.0,952.9,,955.2,
nuclear,核三#2,951.0,946.1,,948.3,
nuclear,小計,3872.0(7.793%),3722.2(13.179%),,3724.0(13.318%),
coal,林口#1,800.0,746.1,,745.8,
coal,林口#2,800.0,754.0,,751.1,
coal,林口#3,800.0,753.6,,750.8,
coal,台中#1,550.0,371.3,燃料限制,372.8,燃料限制
coal,台中#2,550.0,377.0,環保限制,376.1,環保限制
coal,台中#3,550.0,381.9,環保限制,382.8,環保限制
coal,台中#4,550.0,365.1,環保限制,371.8,環保限制
coal,台中#5,550.0,388.3,環保限制,390.5,環保限制
coal,台中#6,550.0,0.0,環保停機歲修,0.0,環保停機歲修
coal,台中#7,550.0,371.9,環保限制,375.7,環保限制
coal,台中#8,550.0,386.2,環保限制,386.9,環保限制
coal,台中#9,550.0,374.7,環保限制,374.7,環保限制
coal,台中#10,550.0,378.3,環保限制,378.4,環保限制
coal,興達#1(註12),500.0,478.4,,481.5,
coal,興達#2(註12),500.0,468.9,,475.2,
coal,興達#3(註12),550.0,519.1,,517.5,
coal,興達#4(註12),550.0,517.8,,529.4,
coal,大林#1,800.0,758.6,,757.9,
coal,大林#2,800.0,669.0,運轉限制,664.4,運轉限制
coal,小計,11600.0(23.347%),9060.2(32.078%),,9083.3(32.485%),
cogen,汽電共生,618.0,1311.7,,1276.2,
cogen,小計,618.0(1.244%),1311.7(4.644%),,1276.2(4.564%),
ippcoal,和平#1,648.6,560.5,,559.4,
ippcoal,和平#2,648.6,565.5,,569.1,
ippcoal,麥寮#1,600.0,570.9,,569.5,
ippcoal,麥寮#2,600.0,569.8,,568.6,
ippcoal,麥寮#3,600.0,574.3,,577.9,
ippcoal,小計,3097.1(6.234%),2841.0(10.059%),,2844.5(10.173%),
lng,大潭CC#1,742.7,710.1,,695.5,
lng,大潭CC#2,742.7,681.0,,653.6,
lng,大潭CC#3,724.7,649.5,,643.8,
lng,大潭CC#4,724.7,683.1,,675.2,
lng,大潭CC#5,724.7,686.6,,671.9,
lng,大潭CC#6,724.7,0.0,歲修,0.0,歲修
lng,大潭CC#7,600.0,0.0,,0.0,
lng,通霄CC#1,892.6,883.7,,885.8,
lng,通霄CC#2,892.6,872.1,,873.6,
